country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.647622,77.315809,OZONE,4,6,5
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-07-2026 18:00:00",28.7500499,77.1112615,CO,15,23,18
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-07-2026 18:00:00",28.7500499,77.1112615,OZONE,11,21,16
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","11-07-2026 18:00:00",28.54246,77.191651,PM10,84,454,210
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","11-07-2026 18:00:00",28.54246,77.191651,SO2,NA,NA,NA
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-07-2026 18:00:00",28.563262,77.186937,PM10,61,391,157
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-07-2026 18:00:00",28.563262,77.186937,NO2,15,72,40
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-07-2026 18:00:00",28.563262,77.186937,SO2,2,112,30
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","11-07-2026 18:00:00",28.594169,77.1251,NO2,7,47,19
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","11-07-2026 18:00:00",28.594169,77.1251,CO,33,48,41
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.710508,77.249485,PM2.5,2,120,64
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-07-2026 18:00:00",28.7762,77.051074,OZONE,2,3,3
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-07-2026 18:00:00",28.56789,77.250515,SO2,17,22,19
India,Delhi,Delhi,"Rohini, Delhi - DPCC","11-07-2026 18:00:00",28.732528,77.11992,NH3,6,10,7
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.672342,77.31526,CO,11,17,14
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-07-2026 18:00:00",28.73282,77.170633,PM2.5,17,302,152
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-07-2026 18:00:00",28.73282,77.170633,OZONE,9,11,10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","11-07-2026 18:00:00",28.570173,76.933762,PM2.5,12,98,48
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-07-2026 18:00:00",28.684678,77.076574,SO2,1,11,4
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-07-2026 18:00:00",28.684678,77.076574,OZONE,5,8,6
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","11-07-2026 18:00:00",28.699793,77.165453,PM2.5,40,200,94
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.647622,77.315809,NO2,19,101,43
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","11-07-2026 18:00:00",28.656756,77.227234,OZONE,26,48,39
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-07-2026 18:00:00",28.636429,77.201067,NH3,6,6,6
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-07-2026 18:00:00",28.636429,77.201067,OZONE,15,24,20
India,Delhi,Delhi,"Pusa, Delhi - DPCC","11-07-2026 18:00:00",28.639652,77.146275,PM2.5,20,103,58
India,Delhi,Delhi,"Pusa, Delhi - DPCC","11-07-2026 18:00:00",28.639652,77.146275,CO,60,85,73
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","11-07-2026 18:00:00",28.594004,76.909423,NO2,5,28,12
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","11-07-2026 18:00:00",28.594004,76.909423,SO2,6,7,6
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","11-07-2026 18:00:00",28.594004,76.909423,OZONE,32,49,42
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","11-07-2026 18:00:00",28.62181,77.1944633,PM10,37,262,117
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","11-07-2026 18:00:00",28.62181,77.1944633,SO2,0,1,0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-07-2026 18:00:00",28.6514781,77.1473105,PM2.5,22,64,35
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","11-07-2026 18:00:00",28.493624,77.201159,SO2,3,4,3
